id,ServiceType,time
1,C,19475
2,B,18086
3,A,27950
4,C,22494
5,C,10651
6,C,14737
7,B,17098
8,B,20005
9,B,26153
10,C,29349
11,C,10421
12,B,10473
13,B,23238
14,B,22364
15,A,19777
16,C,15606
17,C,12343
18,C,21394
19,C,15906
20,B,26141
21,A,11558
22,A,12231
23,C,19446
24,B,24312
25,A,17803
26,A,11915
27,A,23229
28,B,22915
29,A,29149
30,C,27424
31,C,11018
32,C,15074
33,A,26334
34,C,17020
35,C,18361
36,C,27065
37,B,11781
38,C,11052
39,B,28148
40,A,13790
41,B,26771
42,B,28752
43,A,11825
44,A,25309
45,C,26776
46,C,14516
47,A,26230
48,B,14403
49,A,10917
50,B,11907
51,B,25476
52,B,22390
53,A,15497
54,A,12737
55,A,17530
56,C,19239
57,A,22708
58,B,17176
59,A,27353
60,C,29657
61,A,17135
62,A,10491
63,C,29694
64,A,27377
65,C,29506
66,C,28240
67,B,26400
68,C,10942
69,B,25974
70,A,15631
71,B,24651
72,C,15517
73,B,20985
74,A,23292
75,A,12431
76,C,14524
77,B,25335
78,C,28262
79,B,22718
80,A,25948
81,A,14383
82,B,18810
83,A,19737
84,A,21316
85,C,28282
86,A,15759
87,B,12299
88,C,27515
89,B,18354
90,A,19696
91,C,25658
92,C,29881
93,A,19811
94,C,11729
95,C,24290
96,B,25897
97,A,23957
98,B,29325
99,B,16523
100,A,29243
