time_block,EXPECTED_TIME_TO_SERVE_COMPOSITION,REAL_TIME_TO_SERVE_COMPOSITION,CLIENT_AGENT,SERVICES_ENGAGED
"2013-09-23 11_02_26_454","59511","59602","19",";3;9"
"2013-09-23 11_02_48_954","60578","61101","14",";3;1"
"2013-09-23 11_03_09_357","62573","100504","17",";7;9"
"2013-09-23 11_03_32_954","75454","103101","11",";10;1"
"2013-09-23 11_03_52_254","69479","140401","16",";8;9"
"2013-09-23 11_04_35_155","71799","177302","20",";4;9"
"2013-09-23 11_05_18_053","62573","228200","13",";7;9"
"2013-09-23 11_06_00_956","73912","259103","18",";5;9"
"2013-09-23 11_06_43_854","71799","306001","12",";4;9"
"2013-09-23 11_07_26_754","73912","343901","15",";5;9"
