id,ServiceType,time
1,B,43956
2,B,57173
6,B,54930
9,B,42889
11,B,39255
13,B,54392
15,B,57766
17,B,57572
21,B,47532
22,B,52409
23,B,46698
24,B,42101
25,B,53601
26,B,41513
29,B,59128
34,B,41019
38,B,48455
40,B,55644
41,B,46060
44,B,53303
45,B,45959
48,B,41416
50,B,50464
53,B,57585
54,B,47137
57,B,42656
58,B,40802
61,B,40966
62,B,59586
63,B,51006
64,B,39771
65,B,35910
66,B,59404
70,B,53206
71,B,57241
73,B,40921
74,B,57169
76,B,38585
79,B,43460
80,B,35874
82,B,52390
84,B,51143
85,B,55611
87,B,46081
88,B,38463
89,B,46579
91,B,59226
94,B,49233
96,B,35209
