time_block,EXPECTED_TIME_TO_SERVE_COMPOSITION,REAL_TIME_TO_SERVE_COMPOSITION,CLIENT_AGENT,SERVICES_ENGAGED
"2013-08-22 12_05_14","595","744","15",";3;9"
"2013-08-22 12_05_14","595","1242","62",";3;9"
"2013-08-22 12_05_15","595","1740","80",";3;9"
"2013-08-22 12_05_15","595","2242","98",";3;9"
"2013-08-22 12_05_16","595","2739","25",";3;9"
"2013-08-22 12_05_16","637","743","15",";7;1"
"2013-08-22 12_05_16","595","3242","35",";3;9"
"2013-08-22 12_05_17","637","744","62",";7;1"
"2013-08-22 12_05_17","595","3738","82",";3;9"
"2013-08-22 12_05_17","637","742","80",";7;1"
"2013-08-22 12_05_17","595","4243","105",";3;9"
"2013-08-22 12_05_18","637","741","98",";7;1"
"2013-08-22 12_05_18","595","4742","93",";3;9"
"2013-08-22 12_05_18","637","744","25",";7;1"
"2013-08-22 12_05_18","595","5237","73",";3;9"
"2013-08-22 12_05_19","637","1043","15",";7;1"
"2013-08-22 12_05_19","595","5730","100",";3;9"
"2013-08-22 12_05_19","637","1243","35",";7;1"
"2013-08-22 12_05_19","595","6231","86",";3;9"
"2013-08-22 12_05_20","637","1543","62",";7;1"
"2013-08-22 12_05_20","595","6729","59",";3;9"
"2013-08-22 12_05_20","637","1744","82",";7;1"
"2013-08-22 12_05_20","747","816","93",";7;6"
"2013-08-22 12_05_20","595","7229","85",";3;9"
"2013-08-22 12_05_21","637","2042","80",";7;1"
"2013-08-22 12_05_21","747","1215","25",";7;6"
"2013-08-22 12_05_21","595","7736","102",";3;9"
"2013-08-22 12_05_21","637","2242","105",";7;1"
"2013-08-22 12_05_21","747","1516","73",";7;6"
"2013-08-22 12_05_21","595","8229","108",";3;9"
"2013-08-22 12_05_22","637","2543","98",";7;1"
"2013-08-22 12_05_22","595","8729","104",";3;9"
"2013-08-22 12_05_22","747","1916","15",";7;6"
"2013-08-22 12_05_22","769","902","59",";7;2"
"2013-08-22 12_05_22","595","9228","54",";3;9"
"2013-08-22 12_05_23","747","2200","100",";7;6"
"2013-08-22 12_05_23","769","1315","82",";7;2"
"2013-08-22 12_05_23","595","9728","32",";3;9"
"2013-08-22 12_05_23","747","2616","35",";7;6"
"2013-08-22 12_05_23","595","10227","66",";3;9"
"2013-08-22 12_05_23","769","1815","93",";7;2"
"2013-08-22 12_05_24","637","942","105",";7;1"
"2013-08-22 12_05_24","747","2901","86",";7;6"
"2013-08-22 12_05_24","595","10727","31",";3;9"
"2013-08-22 12_05_24","637","1143","73",";7;1"
"2013-08-22 12_05_24","769","2201","85",";7;2"
"2013-08-22 12_05_24","747","3316","62",";7;6"
"2013-08-22 12_05_24","595","11227","75",";3;9"
"2013-08-22 12_05_25","706","1455","98",";8;1"
"2013-08-22 12_05_25","769","2615","80",";7;2"
"2013-08-22 12_05_25","595","11727","13",";3;9"
"2013-08-22 12_05_25","637","2130","108",";7;1"
"2013-08-22 12_05_25","769","3016","25",";7;2"
"2013-08-22 12_05_25","595","12236","45",";3;9"
"2013-08-22 12_05_26","706","2131","104",";8;1"
"2013-08-22 12_05_26","1297","801","66",";7;6"
"2013-08-22 12_05_26","769","3516","102",";7;2"
"2013-08-22 12_05_26","595","12726","96",";3;9"
"2013-08-22 12_05_26","706","2542","15",";8;1"
"2013-08-22 12_05_26","1297","1317","105",";7;6"
"2013-08-22 12_05_26","595","13235","84",";3;9"
"2013-08-22 12_05_27","706","2730","59",";8;1"
"2013-08-22 12_05_27","1297","1915","93",";7;6"
"2013-08-22 12_05_27","595","13725","26",";3;9"
"2013-08-22 12_05_27","706","3130","54",";8;1"
"2013-08-22 12_05_27","595","14225","94",";3;9"
"2013-08-22 12_05_27","747","2201","86",";7;6"
"2013-08-22 12_05_28","706","3430","100",";8;1"
"2013-08-22 12_05_28","838","1015","25",";8;2"
"2013-08-22 12_05_28","595","14726","88",";3;9"
"2013-08-22 12_05_28","1077","3343","35",";7;1"
"2013-08-22 12_05_28","747","2701","31",";7;6"
"2013-08-22 12_05_28","838","1516","45",";8;2"
"2013-08-22 12_05_28","595","15225","53",";3;9"
"2013-08-22 12_05_29","706","4143","82",";8;1"
"2013-08-22 12_05_29","747","3215","73",";7;6"
"2013-08-22 12_05_29","595","15734","38",";3;9"
"2013-08-22 12_05_29","838","2002","104",";8;2"
"2013-08-22 12_05_29","706","4629","32",";8;1"
"2013-08-22 12_05_29","747","3701","85",";7;6"
"2013-08-22 12_05_29","595","16225","90",";3;9"
"2013-08-22 12_05_30","838","2400","66",";8;2"
"2013-08-22 12_05_30","747","4014","62",";7;6"
"2013-08-22 12_05_30","595","16724","44",";3;9"
"2013-08-22 12_05_30","838","2816","102",";8;2"
"2013-08-22 12_05_30","595","17236","18",";3;9"
"2013-08-22 12_05_30","747","4601","75",";7;6"
"2013-08-22 12_05_31","1169","843","45",";4;1"
"2013-08-22 12_05_31","838","3402","96",";8;2"
"2013-08-22 12_05_31","595","17734","12",";3;9"
"2013-08-22 12_05_31","839","4702","13",";4;6"
"2013-08-22 12_05_31","1077","1743","35",";7;1"
"2013-08-22 12_05_31","769","3039","93",";7;2"
"2013-08-22 12_05_31","595","18242","87",";3;9"
"2013-08-22 12_05_32","747","5716","98",";7;6"
"2013-08-22 12_05_32","1077","2130","31",";7;1"
"2013-08-22 12_05_32","595","18733","22",";3;9"
"2013-08-22 12_05_32","769","3601","26",";7;2"
"2013-08-22 12_05_32","1169","2329","53",";4;1"
"2013-08-22 12_05_32","839","5801","108",";4;6"
"2013-08-22 12_05_32","595","19239","107",";3;9"
"2013-08-22 12_05_33","838","5115","15",";8;2"
"2013-08-22 12_05_33","729","2743","82",";4;1"
"2013-08-22 12_05_33","747","6715","80",";7;6"
"2013-08-22 12_05_33","595","19733","29",";3;9"
"2013-08-22 12_05_33","769","4701","54",";7;2"
"2013-08-22 12_05_33","729","3042","73",";4;1"
"2013-08-22 12_05_33","595","20234","39",";3;9"
"2013-08-22 12_05_34","1847","1101","13",";7;6"
"2013-08-22 12_05_34","729","3343","38",";4;1"
"2013-08-22 12_05_34","1341","4901","94",";7;2"
"2013-08-22 12_05_34","595","20733","43",";3;9"
"2013-08-22 12_05_34","706","3130","66",";8;1"
"2013-08-22 12_05_34","1847","1616","35",";7;6"
"2013-08-22 12_05_34","838","6614","105",";8;2"
"2013-08-22 12_05_34","595","21239","30",";3;9"
"2013-08-22 12_05_35","729","4230","32",";4;1"
"2013-08-22 12_05_35","1847","2016","93",";7;6"
"2013-08-22 12_05_35","595","21732","60",";3;9"
"2013-08-22 12_05_35","1341","6001","100",";7;2"
"2013-08-22 12_05_35","706","3843","62",";8;1"
"2013-08-22 12_05_35","595","22233","48",";3;9"
"2013-08-22 12_05_35","1847","2616","87",";7;6"
"2013-08-22 12_05_36","838","7714","84",";8;2"
"2013-08-22 12_05_36","1077","4042","102",";7;1"
"2013-08-22 12_05_36","595","22731","16",";3;9"
"2013-08-22 12_05_36","1366","2602","26",";8;6"
"2013-08-22 12_05_36","1341","7202","86",";7;2"
"2013-08-22 12_05_36","729","5731","104",";4;1"
"2013-08-22 12_05_36","595","23230","14",";3;9"
"2013-08-22 12_05_37","1297","3516","98",";7;6"
"2013-08-22 12_05_37","706","5330","44",";8;1"
"2013-08-22 12_05_37","838","8796","59",";8;2"
"2013-08-22 12_05_37","595","23730","37",";3;9"
"2013-08-22 12_05_37","1957","5338","18",";7;1"
"2013-08-22 12_05_37","816","3602","53",";8;6"
"2013-08-22 12_05_37","1341","8115","25",";7;2"
"2013-08-22 12_05_37","595","24230","92",";3;9"
"2013-08-22 12_05_38","729","6928","85",";4;1"
"2013-08-22 12_05_38","1297","4701","31",";7;6"
"2013-08-22 12_05_38","595","24700","19",";3;9"
"2013-08-22 12_05_38","1341","8601","88",";7;2"
"2013-08-22 12_05_38","1957","6230","75",";7;1"
"2013-08-22 12_05_38","595","25200","109",";3;9"
"2013-08-22 12_05_38","1297","5115","22",";7;6"
"2013-08-22 12_05_39","3629","2400","32",";7;2"
"2013-08-22 12_05_39","1957","6542","45",";7;1"
"2013-08-22 12_05_39","595","25698","46",";3;9"
"2013-08-22 12_05_39","816","5302","108",";8;6"
"2013-08-22 12_05_39","3629","2814","60",";7;2"
"2013-08-22 12_05_39","729","8330","90",";4;1"
"2013-08-22 12_05_39","595","26201","57",";3;9"
"2013-08-22 12_05_40","816","5816","107",";8;6"
"2013-08-22 12_05_40","1957","7429","96",";7;1"
"2013-08-22 12_05_40","3598","3914","105",";3;2"
"2013-08-22 12_05_40","595","26701","47",";3;9"
"2013-08-22 12_05_40","1957","7841","12",";7;1"
"2013-08-22 12_05_40","716","5615","73",";3;6"
"2013-08-22 12_05_40","3629","4014","93",";7;2"
"2013-08-22 12_05_40","595","27200","27",";3;9"
"2013-08-22 12_05_41","3246","2418","59",";3;1"
"2013-08-22 12_05_41","816","6816","15",";8;6"
"2013-08-22 12_05_41","595","27701","106",";3;9"
"2013-08-22 12_05_41","3598","5115","30",";3;2"
"2013-08-22 12_05_41","3346","3051","98",";8;1"
"2013-08-22 12_05_41","595","28200","42",";3;9"
"2013-08-22 12_05_41","716","6801","54",";3;6"
"2013-08-22 12_05_42","3057","4916","62",";7;2"
"2013-08-22 12_05_42","3246","3343","37",";3;1"
"2013-08-22 12_05_42","595","28697","20",";3;9"
"2013-08-22 12_05_42","1266","7215","39",";3;6"
"2013-08-22 12_05_42","3026","5702","100",";3;2"
"2013-08-22 12_05_42","2806","3538","18",";3;1"
"2013-08-22 12_05_42","595","29201","64",";3;9"
"2013-08-22 12_05_43","816","8515","82",";8;6"
"2013-08-22 12_05_43","2806","3929","53",";3;1"
"2013-08-22 12_05_43","3057","5915","48",";7;2"
"2013-08-22 12_05_43","595","29697","101",";3;9"
"2013-08-22 12_05_43","2806","4342","92",";3;1"
"2013-08-22 12_05_43","1816","8115","38",";3;6"
"2013-08-22 12_05_43","3057","6415","87",";7;2"
"2013-08-22 12_05_43","595","30201","78",";3;9"
"2013-08-22 12_05_44","2806","4842","25",";3;1"
"2013-08-22 12_05_44","816","9514","29",";8;6"
"2013-08-22 12_05_44","595","30701","91",";3;9"
"2013-08-22 12_05_44","2485","6915","84",";7;2"
"2013-08-22 12_05_44","2366","5030","85",";3;1"
"2013-08-22 12_05_44","595","31196","28",";3;9"
"2013-08-22 12_05_44","1816","9301","13",";3;6"
"2013-08-22 12_05_45","2485","7415","102",";7;2"
"2013-08-22 12_05_45","2366","5330","31",";3;1"
"2013-08-22 12_05_45","595","31696","63",";3;9"
"2013-08-22 12_05_45","2366","9801","94",";3;6"
"2013-08-22 12_05_45","2485","7853","16",";7;2"
"2013-08-22 12_05_45","2366","5815","19",";3;1"
"2013-08-22 12_05_45","595","32196","71",";3;9"
"2013-08-22 12_05_46","816","11314","80",";8;6"
"2013-08-22 12_05_46","2366","6230","88",";3;1"
"2013-08-22 12_05_46","1913","8201","26",";7;2"
"2013-08-22 12_05_46","595","32696","72",";3;9"
"2013-08-22 12_05_46","1926","6529","75",";3;1"
"2013-08-22 12_05_46","2916","10915","43",";3;6"
"2013-08-22 12_05_46","2554","8515","14",";8;2"
"2013-08-22 12_05_46","595","33196","99",";3;9"
"2013-08-22 12_05_47","3277","6300","46",";7;1"
"2013-08-22 12_05_47","3466","11201","66",";3;6"
"2013-08-22 12_05_47","595","33696","55",";3;9"
"2013-08-22 12_05_47","1913","9296","104",";7;2"
"2013-08-22 12_05_47","2806","7300","109",";3;1"
"2013-08-22 12_05_47","595","34195","21",";3;9"
"2013-08-22 12_05_47","4016","11715","35",";3;6"
"2013-08-22 12_05_48","1913","9896","86",";7;2"
"2013-08-22 12_05_48","3717","7129","108",";7;1"
"2013-08-22 12_05_48","595","34696","51",";3;9"
"2013-08-22 12_05_48","6316","5714","15",";8;6"
"2013-08-22 12_05_48","3126","10001","44",";8;2"
"2013-08-22 12_05_48","2806","8242","22",";3;1"
"2013-08-22 12_05_48","595","35195","70",";3;9"
"2013-08-22 12_05_49","6216","6016","98",";3;6"
"2013-08-22 12_05_49","3277","8041","60",";7;1"
"2013-08-22 12_05_49","5345","4376","101",";7;2"
"2013-08-22 12_05_49","595","35694","23",";3;9"
"2013-08-22 12_05_49","3246","9130","32",";3;1"
"2013-08-22 12_05_49","5666","6375","42",";3;6"
"2013-08-22 12_05_49","5345","4715","92",";7;2"
"2013-08-22 12_05_49","595","36195","61",";3;9"
"2013-08-22 12_05_50","3717","9030","90",";7;1"
"2013-08-22 12_05_50","6316","7475","106",";8;6"
"2013-08-22 12_05_50","595","36694","36",";3;9"
"2013-08-22 12_05_50","5345","5214","38",";7;2"
"2013-08-22 12_05_50","2806","10043","45",";3;1"
"2013-08-22 12_05_50","595","37194","65",";3;9"
"2013-08-22 12_05_50","5666","7500","54",";3;6"
"2013-08-22 12_05_51","4773","5715","87",";7;2"
"2013-08-22 12_05_51","4157","9802","57",";7;1"
"2013-08-22 12_05_51","595","37694","95",";3;9"
"2013-08-22 12_05_51","6316","8638","30",";8;6"
"2013-08-22 12_05_51","4773","6275","78",";7;2"
"2013-08-22 12_05_51","4157","10042","107",";7;1"
"2013-08-22 12_05_51","595","38195","69",";3;9"
"2013-08-22 12_05_52","5666","8621","62",";3;6"
"2013-08-22 12_05_52","4157","10530","96",";7;1"
"2013-08-22 12_05_52","4773","6614","25",";7;2"
"2013-08-22 12_05_52","595","38686","76",";3;9"
"2013-08-22 12_05_52","4157","10942","105",";7;1"
"2013-08-22 12_05_52","5666","9114","37",";3;6"
"2013-08-22 12_05_52","4773","7024","29",";7;2"
"2013-08-22 12_05_52","595","39184","40",";3;9"
"2013-08-22 12_05_53","4597","11301","47",";7;1"
"2013-08-22 12_05_53","5666","9475","20",";3;6"
"2013-08-22 12_05_53","595","39684","81",";3;9"
"2013-08-22 12_05_53","4201","7575","91",";7;2"
"2013-08-22 12_05_53","4597","11543","12",";7;1"
"2013-08-22 12_05_53","595","40184","68",";3;9"
"2013-08-22 12_05_53","5116","9915","39",";3;6"
"2013-08-22 12_05_54","4201","8114","84",";7;2"
"2013-08-22 12_05_54","5986","11530","59",";8;1"
"2013-08-22 12_05_54","595","40683","41",";3;9"
"2013-08-22 12_05_54","5116","10414","18",";3;6"
"2013-08-22 12_05_54","4270","8002","31",";8;2"
"2013-08-22 12_05_54","5037","12438","73",";7;1"
"2013-08-22 12_05_54","595","41184","97",";3;9"
"2013-08-22 12_05_55","5116","11001","100",";3;6"
"2013-08-22 12_05_55","5037","12842","93",";7;1"
"2013-08-22 12_05_55","4201","9100","85",";7;2"
"2013-08-22 12_05_55","595","41685","67",";3;9"
"2013-08-22 12_05_55","5477","13301","27",";7;1"
"2013-08-22 12_05_55","5116","11375","64",";3;6"
"2013-08-22 12_05_55","4201","9475","28",";7;2"
"2013-08-22 12_05_55","595","42185","49",";3;9"
"2013-08-22 12_05_56","7746","7500","46",";8;1"
"2013-08-22 12_05_56","4566","11715","82",";3;6"
"2013-08-22 12_05_56","595","42684","56",";3;9"
"2013-08-22 12_05_56","4742","9399","94",";3;2"
"2013-08-22 12_05_56","7677","7830","66",";7;1"
"2013-08-22 12_05_56","595","43184","89",";3;9"
"2013-08-22 12_05_56","4566","12301","53",";3;6"
"2013-08-22 12_05_57","4842","10175","63",";8;2"
"2013-08-22 12_05_57","7677","8302","55",";7;1"
"2013-08-22 12_05_57","595","43681","103",";3;9"
"2013-08-22 12_05_57","5116","12815","48",";3;6"
"2013-08-22 12_05_57","3629","11201","13",";7;2"
"2013-08-22 12_05_57","8086","9302","99",";3;1"
"2013-08-22 12_05_57","595","44185","11",";3;9"
"2013-08-22 12_05_58","7866","7276","23",";3;6"
"2013-08-22 12_05_58","7677","9230","104",";7;1"
"2013-08-22 12_05_58","4742","11115","16",";3;2"
"2013-08-22 12_05_58","595","44681","79",";3;9"
"2013-08-22 12_05_58","7237","9501","109",";7;1"
"2013-08-22 12_05_58","7316","7601","32",";3;6"
"2013-08-22 12_05_58","4201","12315","102",";7;2"
"2013-08-22 12_05_58","595","45180","52",";3;9"
"2013-08-22 12_05_59","7237","9801","21",";7;1"
"2013-08-22 12_05_59","7316","8175","42",";3;6"
"2013-08-22 12_05_59","595","45706","33",";3;9"
"2013-08-22 12_05_59","5314","12276","19",";3;2"
"2013-08-22 12_05_59","7237","10239","35",";7;1"
"2013-08-22 12_05_59","595","46178","17",";3;9"
"2013-08-22 12_05_59","7316","8615","92",";3;6"
"2013-08-22 12_06_00","5886","12676","71",";3;2"
"2013-08-22 12_06_00","7237","10630","86",";7;1"
"2013-08-22 12_06_00","595","46679","77",";3;9"
"2013-08-22 12_06_00","7316","9176","61",";3;6"
"2013-08-22 12_06_00","6458","13016","80",";3;2"
"2013-08-22 12_06_00","6797","11030","108",";7;1"
"2013-08-22 12_06_00","595","47178","110",";3;9"
"2013-08-22 12_06_01","7316","9501","90",";3;6"
"2013-08-22 12_06_01","6797","11302","51",";7;1"
"2013-08-22 12_06_01","5886","13601","88",";3;2"
"2013-08-22 12_06_01","595","47678","50",";3;9"
"2013-08-22 12_06_01","6866","11301","70",";8;1"
"2013-08-22 12_06_01","6766","9975","106",";3;6"
"2013-08-22 12_06_01","5886","14101","26",";3;2"
"2013-08-22 12_06_01","595","48179","34",";3;9"
"2013-08-22 12_06_02","7206","11501","101",";3;1"
"2013-08-22 12_06_02","6766","10475","36",";3;6"
"2013-08-22 12_06_02","595","48678","83",";3;9"
"2013-08-22 12_06_02","6458","14575","72",";3;2"
"2013-08-22 12_06_02","6797","12641","15",";7;1"
"2013-08-22 12_06_02","595","49178","74",";3;9"
"2013-08-22 12_06_02","6766","11015","38",";3;6"
"2013-08-22 12_06_03","7030","14901","75",";3;2"
"2013-08-22 12_06_03","6866","12542","60",";8;1"
"2013-08-22 12_06_03","595","49676","58",";3;9"
"2013-08-22 12_06_03","6797","10876","57",";7;6"
"2013-08-22 12_06_03","7602","15415","43",";3;2"
"2013-08-22 12_06_03","6357","13542","22",";7;1"
"2013-08-22 12_06_03","595","50176","24",";3;9"
"2013-08-22 12_06_04","6766","12016","45",";3;6"
"2013-08-22 12_06_04","6357","14030","44",";7;1"
"2013-08-22 12_06_04","7030","15914","14",";3;2"
"2013-08-22 12_06_04","9175","9600","20",";3;9"
"2013-08-22 12_06_04","6866","14042","98",";8;1"
"2013-08-22 12_06_04","7347","11875","95",";7;6"
"2013-08-22 12_06_04","7030","6401","53",";3;2"
"2013-08-22 12_06_04","9704","10201","47",";8;9"
"2013-08-22 12_06_05","8626","8542","93",";8;1"
"2013-08-22 12_06_05","6216","12975","65",";3;6"
"2013-08-22 12_06_05","9175","10586","81",";3;9"
"2013-08-22 12_06_05","7633","7501","94",";7;2"
"2013-08-22 12_06_05","8557","8930","85",";7;1"
"2013-08-22 12_06_05","9635","11586","40",";7;9"
"2013-08-22 12_06_05","7347","12915","30",";7;6"
"2013-08-22 12_06_06","7030","7576","63",";3;2"
"2013-08-22 12_06_06","8557","9389","67",";7;1"
"2013-08-22 12_06_06","9175","11501","91",";3;9"
"2013-08-22 12_06_06","6766","14101","54",";3;6"
"2013-08-22 12_06_06","7030","7976","55",";3;2"
"2013-08-22 12_06_06","8626","10029","100",";8;1"
"2013-08-22 12_06_06","9635","12542","29",";7;9"
"2013-08-22 12_06_07","7347","14076","78",";7;6"
"2013-08-22 12_06_07","8117","10002","64",";7;1"
"2013-08-22 12_06_07","7030","8459","103",";3;2"
"2013-08-22 12_06_07","9175","12243","12",";3;9"
"2013-08-22 12_06_07","8117","10501","27",";7;1"
"2013-08-22 12_06_07","6766","15220","87",";3;6"
"2013-08-22 12_06_07","7030","8817","48",";3;2"
"2013-08-22 12_06_07","8746","12586","68",";3;9"
"2013-08-22 12_06_08","8117","10901","28",";7;1"
"2013-08-22 12_06_08","7347","15215","107",";7;6"
"2013-08-22 12_06_08","8746","12942","39",";3;9"
"2013-08-22 12_06_08","6458","9301","13",";3;2"
"2013-08-22 12_06_08","8117","11386","49",";7;1"
"2013-08-22 12_06_08","8746","13342","84",";3;9"
"2013-08-22 12_06_08","8447","15576","69",";7;6"
"2013-08-22 12_06_09","6458","9876","99",";3;2"
"2013-08-22 12_06_09","7677","11501","46",";7;1"
"2013-08-22 12_06_09","8746","13730","59",";3;9"
"2013-08-22 12_06_09","8447","15913","62",";7;6"
"2013-08-22 12_06_09","6458","10358","11",";3;2"
"2013-08-22 12_06_09","7677","11885","56",";7;1"
"2013-08-22 12_06_09","8317","14086","41",";3;9"
"2013-08-22 12_06_10","8447","16501","96",";7;6"
"2013-08-22 12_06_10","7677","12341","82",";7;1"
"2013-08-22 12_06_10","6458","10675","23",";3;2"
"2013-08-22 12_06_10","7988","14086","97",";8;9"
"2013-08-22 12_06_10","7329","12385","89",";4;1"
"2013-08-22 12_06_10","8447","17014","25",";7;6"
"2013-08-22 12_06_10","7061","10674","109",";7;2"
"2013-08-22 12_06_10","8317","14842","18",";3;9"
"2013-08-22 12_06_11","7237","13030","66",";7;1"
"2013-08-22 12_06_11","8997","17558","76",";7;6"
"2013-08-22 12_06_11","8317","15242","73",";3;9"
"2013-08-22 12_06_11","5886","11801","104",";3;2"
"2013-08-22 12_06_11","9946","10030","86",";8;1"
"2013-08-22 12_06_11","8317","15730","31",";3;9"
"2013-08-22 12_06_11","9547","17814","105",";7;6"
"2013-08-22 12_06_12","7061","11801","32",";7;2"
"2013-08-22 12_06_12","9946","10385","77",";8;1"
"2013-08-22 12_06_12","8846","8702","101",";8;9"
"2013-08-22 12_06_12","9547","18314","37",";7;6"
"2013-08-22 12_06_12","5886","12914","16",";3;2"
"2013-08-22 12_06_12","9406","10541","80",";3;1"
"2013-08-22 12_06_12","8348","9102","36",";7;9"
"2013-08-22 12_06_13","7866","7534","45",";3;6"
"2013-08-22 12_06_13","9406","11030","108",";3;1"
"2013-08-22 12_06_13","7061","12958","52",";7;2"
"2013-08-22 12_06_13","8348","9585","83",";7;9"
"2013-08-22 12_06_13","9946","11701","61",";8;1"
"2013-08-22 12_06_13","7866","8101","44",";3;6"
"2013-08-22 12_06_13","5886","14058","79",";3;2"
"2013-08-22 12_06_13","8348","10001","72",";7;9"
"2013-08-22 12_06_14","9406","11885","110",";3;1"
"2013-08-22 12_06_14","7866","8615","14",";3;6"
"2013-08-22 12_06_14","8348","10242","15",";7;9"
"2013-08-22 12_06_14","7061","14114","102",";7;2"
"2013-08-22 12_06_14","8966","12029","90",";3;1"
"2013-08-22 12_06_14","7919","10586","74",";7;9"
"2013-08-22 12_06_14","7866","9074","20",";3;6"
"2013-08-22 12_06_15","8205","14374","21",";7;2"
"2013-08-22 12_06_15","8966","12501","51",";3;1"
"2013-08-22 12_06_15","7919","10942","38",";7;9"
"2013-08-22 12_06_15","7866","9415","98",";3;6"
"2013-08-22 12_06_15","8205","14874","42",";7;2"
"2013-08-22 12_06_15","8966","12930","88",";3;1"
"2013-08-22 12_06_15","7919","11328","75",";7;9"
"2013-08-22 12_06_16","7316","9975","95",";3;6"
"2013-08-22 12_06_16","8966","13387","50",";3;1"
"2013-08-22 12_06_16","8205","15376","19",";7;2"
"2013-08-22 12_06_16","7919","11742","60",";7;9"
"2013-08-22 12_06_16","8526","13501","106",";3;1"
"2013-08-22 12_06_16","7316","10401","53",";3;6"
"2013-08-22 12_06_16","8205","15958","33",";7;2"
"2013-08-22 12_06_16","7130","11585","24",";8;9"
"2013-08-22 12_06_17","8526","14001","70",";3;1"
"2013-08-22 12_06_17","7316","10975","47",";3;6"
"2013-08-22 12_06_17","7490","12586","58",";7;9"
"2013-08-22 12_06_17","8777","16420","35",";7;2"
"2013-08-22 12_06_17","8526","14385","34",";3;1"
"2013-08-22 12_06_17","7490","12902","57",";7;9"
"2013-08-22 12_06_17","7316","11315","93",";3;6"
"2013-08-22 12_06_18","9349","16757","17",";7;2"
"2013-08-22 12_06_18","8526","14829","26",";3;1"
"2013-08-22 12_06_18","7490","13242","43",";7;9"
"2013-08-22 12_06_18","6866","11401","85",";8;6"
"2013-08-22 12_06_18","9349","17215","92",";7;2"
"2013-08-22 12_06_18","9506","9501","27",";8;1"
"2013-08-22 12_06_18","7490","13742","22",";7;9"
"2013-08-22 12_06_19","6766","12375","65",";3;6"
"2013-08-22 12_06_19","9406","9885","68",";3;1"
"2013-08-22 12_06_19","9349","17776","71",";7;2"
"2013-08-22 12_06_19","8348","8285","56",";7;9"
"2013-08-22 12_06_19","9406","10341","48",";3;1"
"2013-08-22 12_06_19","6797","12314","30",";7;6"
"2013-08-22 12_06_19","7602","6701","86",";3;2"
"2013-08-22 12_06_19","8348","8785","11",";7;9"
"2013-08-22 12_06_20","9506","10942","87",";8;1"
"2013-08-22 12_06_20","7416","13059","40",";8;6"
"2013-08-22 12_06_20","8317","9342","62",";3;9"
"2013-08-22 12_06_20","7602","7101","31",";3;2"
"2013-08-22 12_06_20","8966","11002","28",";3;1"
"2013-08-22 12_06_20","7919","9585","41",";7;9"
"2013-08-22 12_06_20","6766","14158","81",";3;6"
"2013-08-22 12_06_21","7602","7615","105",";3;2"
