time_block,EXPECTED_TIME_TO_SERVE_COMPOSITION,REAL_TIME_TO_SERVE_COMPOSITION,CLIENT_AGENT,SERVICES_ENGAGED
"2013-09-09 14_57_58","46539","46676","207",";36;80"
"2013-09-09 14_57_59","47105","47166","275",";97;96"
"2013-09-09 14_58_30","46575","78756","206",";36;65"
"2013-09-09 14_58_34","46586","81495","287",";46;96"
"2013-09-09 14_58_41","46539","89391","126",";36;80"
"2013-09-09 14_59_06","46575","114692","244",";36;65"
"2013-09-09 14_59_10","45874","118247","143",";36;96"
"2013-09-09 14_59_17","47770","77203","207",";97;80"
"2013-09-09 14_59_23","49840","128537","200",";46;88"
"2013-09-09 14_59_42","46575","150298","203",";36;65"
"2013-09-09 14_59_45","47105","153066","218",";97;96"
"2013-09-09 14_59_53","47251","158549","118",";46;80"
"2013-09-09 14_59_59","50481","50535","244",";97;76"
"2013-09-09 15_00_01","51444","78791","126",";81;88"
"2013-09-09 15_00_18","47806","106576","206",";97;65"
"2013-09-09 15_00_20","46586","186241","104",";46;96"
"2013-09-09 15_00_28","47770","147980","275",";97;80"
"2013-09-09 15_00_34","50632","50727","203",";46;11"
"2013-09-09 15_00_38","49250","206230","146",";36;76"
"2013-09-09 15_00_40","49128","207737","230",";36;88"
"2013-09-09 15_00_54","46575","222294","109",";36;65"
"2013-09-09 15_00_56","45874","224134","153",";36;96"
"2013-09-09 15_01_04","47770","70353","118",";97;80"
"2013-09-09 15_01_11","51148","51274","206",";46;64"
"2013-09-09 15_01_14","50632","87256","218",";46;11"
"2013-09-09 15_01_17","51566","118482","207",";81;76"
"2013-09-09 15_01_18","49128","246239","269",";36;88"
"2013-09-09 15_01_30","47806","174329","287",";97;65"
"2013-09-09 15_01_40","47251","99354","244",";46;80"
"2013-09-09 15_01_48","52179","52297","109",";46;58"
"2013-09-09 15_01_51","51667","80727","275",";97;64"
"2013-09-09 15_01_53","50632","77126","203",";46;11"
"2013-09-09 15_01_55","50481","164227","143",";97;76"
"2013-09-09 15_01_57","49128","284637","274",";36;88"
"2013-09-09 15_02_06","46586","292082","152",";46;96"
"2013-09-09 15_02_06","47287","292036","294",";46;65"
"2013-09-09 15_02_16","47770","133699","126",";97;80"
"2013-09-09 15_02_23","52817","63034","269",";97;73"
"2013-09-09 15_02_29","52698","82994","118",";97;58"
"2013-09-09 15_02_30","51148","128766","104",";46;64"
"2013-09-09 15_02_32","51151","112766","146",";97;11"
"2013-09-09 15_02_34","49962","189825","200",";46;76"
"2013-09-09 15_02_35","49128","322430","167",";36;88"
"2013-09-09 15_02_41","46586","327372","129",";46;96"
"2013-09-09 15_02_42","47287","70529","287",";46;65"
"2013-09-09 15_02_52","46539","339428","264",";36;80"
"2013-09-09 15_03_04","52298","74134","109",";46;73"
"2013-09-09 15_03_09","52862","61356","152",";97;61"
"2013-09-09 15_03_10","52179","132754","153",";46;58"
"2013-09-09 15_03_10","51667","78127","275",";97;64"
"2013-09-09 15_03_12","52236","150493","230",";81;11"
"2013-09-09 15_03_12","49250","360622","262",";36;76"
"2013-09-09 15_03_14","49128","360906","289",";36;88"
"2013-09-09 15_03_17","45874","364879","113",";36;96"
"2013-09-09 15_03_18","47287","96401","244",";46;65"
"2013-09-09 15_03_28","48855","70303","126",";81;80"
"2013-09-09 15_03_45","53902","69570","146",";81;73"
"2013-09-09 15_03_50","52862","102283","294",";97;61"
"2013-09-09 15_03_50","51667","115601","203",";97;64"
"2013-09-09 15_03_51","52698","155524","218",";97;58"
"2013-09-09 15_03_51","49920","398214","102",";36;11"
"2013-09-09 15_03_51","51566","75724","200",";81;76"
"2013-09-09 15_03_52","46586","397969","272",";46;96"
"2013-09-09 15_03_52","49840","69241","129",";46;88"
"2013-09-09 15_03_54","47806","60590","264",";97;65"
"2013-09-09 15_04_04","47251","99850","269",";46;80"
"2013-09-09 15_04_26","52817","75241","152",";97;73"
"2013-09-09 15_04_27","46586","433232","140",";46;96"
"2013-09-09 15_04_30","49962","71511","113",";46;76"
"2013-09-09 15_04_30","51148","153092","143",";46;64"
"2013-09-09 15_04_30","47287","106528","287",";46;65"
"2013-09-09 15_04_30","52236","77192","230",";81;11"
"2013-09-09 15_04_31","51444","114042","167",";81;88"
"2013-09-09 15_04_32","52179","199271","206",";46;58"
"2013-09-09 15_04_40","47251","129550","118",";46;80"
"2013-09-09 15_04_41","52343","54886","146",";46;61"
"2013-09-09 15_05_03","45874","470773","168",";36;96"
"2013-09-09 15_05_06","47287","121101","109",";46;65"
