time_block,EXPECTED_TIME_TO_SERVE_COMPOSITION,REAL_TIME_TO_SERVE_COMPOSITION,CLIENT_AGENT
"2013-08-13 11_20_22","595","1208","14"
"2013-08-13 11_20_23","595","1692","39"
"2013-08-13 11_20_23","865","1852","19"
"2013-08-13 11_20_23","718","2195","16"
"2013-08-13 11_20_24","744","2694","28"
"2013-08-13 11_20_24","729","2667","32"
"2013-08-13 11_20_24","739","2853","18"
"2013-08-13 11_20_25","718","3628","13"
"2013-08-13 11_20_25","861","3454","15"
"2013-08-13 11_20_25","744","4240","23"
"2013-08-13 11_20_25","861","4064","22"
"2013-08-13 11_20_26","695","4102","12"
"2013-08-13 11_20_26","861","4628","17"
"2013-08-13 11_20_26","718","5193","38"
"2013-08-13 11_20_27","739","5219","11"
"2013-08-13 11_20_27","861","5322","27"
"2013-08-13 11_20_27","718","6193","30"
"2013-08-13 11_20_28","718","6495","36"
"2013-08-13 11_20_28","861","6599","35"
"2013-08-13 11_20_28","718","6859","20"
"2013-08-13 11_20_29","718","7403","29"
"2013-08-13 11_20_29","718","7855","25"
"2013-08-13 11_20_30","718","8346","21"
"2013-08-13 11_20_30","718","8829","33"
"2013-08-13 11_20_31","718","9301","31"
"2013-08-13 11_20_31","718","9806","37"
"2013-08-13 11_20_32","718","10296","24"
"2013-08-13 11_20_32","718","10803","34"
"2013-08-13 11_20_33","718","11295","26"
"2013-08-13 11_20_33","718","11834","40"
"2013-08-13 11_20_34","4605","1005","14"
"2013-08-13 11_20_34","887","971","19"
"2013-08-13 11_20_34","4456","1105","39"
"2013-08-13 11_20_35","4885","1075","16"
"2013-08-13 11_20_35","887","1057","28"
"2013-08-13 11_20_36","887","1252","32"
"2013-08-13 11_20_36","755","1108","18"
"2013-08-13 11_20_36","4605","968","13"
"2013-08-13 11_20_37","4605","1401","15"
"2013-08-13 11_20_37","865","1404","23"
"2013-08-13 11_20_37","4605","1449","22"
"2013-08-13 11_20_38","4605","1794","12"
"2013-08-13 11_20_38","4605","1905","17"
"2013-08-13 11_20_39","4176","2199","38"
"2013-08-13 11_20_39","4605","2187","11"
"2013-08-13 11_20_40","4605","2727","27"
"2013-08-13 11_20_40","4605","2691","30"
"2013-08-13 11_20_41","4605","2717","36"
"2013-08-13 11_20_41","5034","3097","35"
"2013-08-13 11_20_42","865","2200","25"
"2013-08-13 11_20_42","4605","3205","20"
"2013-08-13 11_20_42","887","2199","21"
"2013-08-13 11_20_42","4176","3242","29"
"2013-08-13 11_20_43","2342","1686","31"
"2013-08-13 11_20_43","1913","1712","37"
"2013-08-13 11_20_44","2889","3233","33"
"2013-08-13 11_20_44","1602","2274","24"
"2013-08-13 11_20_45","1173","2507","34"
"2013-08-13 11_20_45","816","904","14"
"2013-08-13 11_20_45","744","2432","26"
"2013-08-13 11_20_46","1173","2415","40"
"2013-08-13 11_20_47","744","2083","19"
"2013-08-13 11_20_47","744","2403","39"
"2013-08-13 11_20_48","744","2415","16"
"2013-08-13 11_20_48","744","2724","28"
"2013-08-13 11_20_48","2125","1079","23"
"2013-08-13 11_20_49","1059","2592","32"
"2013-08-13 11_20_49","718","2572","13"
"2013-08-13 11_20_49","1832","1007","12"
"2013-08-13 11_20_50","1374","3487","18"
"2013-08-13 11_20_50","1689","3106","15"
"2013-08-13 11_20_51","1689","2753","22"
"2013-08-13 11_20_51","1689","2401","17"
"2013-08-13 11_20_52","2118","2398","38"
"2013-08-13 11_20_52","2118","2502","11"
"2013-08-13 11_20_53","2118","2408","27"
"2013-08-13 11_20_53","2232","2380","30"
"2013-08-13 11_20_54","1597","2451","36"
"2013-08-13 11_20_54","1917","2232","35"
"2013-08-13 11_20_55","1602","2404","20"
"2013-08-13 11_20_55","1602","2900","25"
"2013-08-13 11_20_56","1602","3067","21"
"2013-08-13 11_20_56","887","1300","24"
"2013-08-13 11_20_56","1602","3528","29"
"2013-08-13 11_20_57","2031","3377","31"
"2013-08-13 11_20_57","1602","3454","37"
"2013-08-13 11_20_58","1602","3400","33"
"2013-08-13 11_20_58","1602","2719","34"
"2013-08-13 11_20_59","1917","3075","14"
"2013-08-13 11_20_59","1917","3199","26"
"2013-08-13 11_21_00","1484","3165","40"
"2013-08-13 11_21_00","2031","3202","19"
"2013-08-13 11_21_01","2411","3283","39"
"2013-08-13 11_21_01","2460","3095","16"
"2013-08-13 11_21_02","2460","3020","28"
"2013-08-13 11_21_02","1982","3192","32"
"2013-08-13 11_21_03","2031","3692","23"
"2013-08-13 11_21_03","2005","3484","13"
"2013-08-13 11_21_04","2031","3903","12"
"2013-08-13 11_21_04","2031","4091","18"
