time_block,EXPECTED_TIME_TO_SERVE_COMPOSITION,REAL_TIME_TO_SERVE_COMPOSITION,CLIENT_AGENT,SERVICES_ENGAGED
"2013-09-10 16_25_06_166","59511","59597","37",";3;9"
"2013-09-10 16_25_49_071","59511","102501","35",";3;9"
"2013-09-10 16_26_31_966","59511","145396","38",";3;9"
"2013-09-10 16_27_14_865","59511","188295","27",";3;9"
"2013-09-10 16_27_57_766","59511","231194","26",";3;9"
"2013-09-10 16_28_40_666","59511","274094","36",";3;9"
"2013-09-10 16_29_23_566","59511","316994","30",";3;9"
"2013-09-10 16_30_06_465","59511","359892","14",";3;9"
"2013-09-10 16_30_49_366","59511","402793","25",";3;9"
"2013-09-10 16_31_32_266","59511","445692","23",";3;9"
"2013-09-10 16_32_15_165","59511","488590","16",";3;9"
"2013-09-10 16_32_58_065","59511","531486","21",";3;9"
"2013-09-10 16_33_40_966","59511","574387","13",";3;9"
"2013-09-10 16_34_23_866","59511","617287","28",";3;9"
"2013-09-10 16_35_06_766","59511","660186","20",";3;9"
"2013-09-10 16_35_49_666","59511","703085","33",";3;9"
"2013-09-10 16_36_32_571","59511","745990","40",";3;9"
"2013-09-10 16_37_15_466","59511","788800","19",";3;9"
"2013-09-10 16_37_58_365","59511","831697","12",";3;9"
"2013-09-10 16_38_41_270","59511","874602","15",";3;9"
"2013-09-10 16_39_24_167","59511","917499","31",";3;9"
"2013-09-10 16_40_07_066","59511","960397","32",";3;9"
"2013-09-10 16_40_49_972","59511","1003302","18",";3;9"
"2013-09-10 16_41_32_875","59511","1046205","22",";3;9"
"2013-09-10 16_42_15_766","59511","1089095","24",";3;9"
"2013-09-10 16_42_58_667","59511","1131996","29",";3;9"
"2013-09-10 16_43_41_567","59511","1174896","11",";3;9"
"2013-09-10 16_44_24_466","59511","1217794","17",";3;9"
"2013-09-10 16_45_07_366","59511","1260693","34",";3;9"
"2013-09-10 16_45_50_266","59511","1303593","39",";3;9"
