time_block,EXPECTED_TIME_TO_SERVE_COMPOSITION,REAL_TIME_TO_SERVE_COMPOSITION,ClientAgent,SERVICES_ENGAGED,run
2014-05-07 13_51_51_671,20974,71055,2873,;957;3823
2014-05-07 13_52_11_844,31167,91559,2813,;1008;3823;1616
2014-05-07 13_52_35_024,20047,134318,833,;1113;2790
2014-05-07 13_53_00_318,20177,131809,3293,;2683;3947
2014-05-07 13_54_27_325,30347,230343,2453,;1254;1113;2370
2014-05-07 13_56_07_244,30052,318730,3413,;2812;2792;1616
2014-05-07 13_51_15_452,20161,54613,888,;939;2207
2014-05-07 13_51_33_813,20881,80407,168,;45;171
2014-05-07 13_51_37_861,41823,78956,708,;0;16
2014-05-07 13_52_33_047,20101,112343,2868,;2792;3599
2014-05-07 13_52_42_050,20177,113645,3708,;2683;2136
2014-05-07 13_53_06_809,31547,170004,468,;502;391;572
2014-05-07 13_53_16_828,20200,155122,3048,;2640;1849
2014-05-07 13_55_15_373,30245,290559,1308,;939;2207;3265
2014-05-07 13_51_13_732,21080,61692,79,;45;312
2014-05-07 13_52_13_916,20465,120711,199,;147;288
2014-05-07 13_52_32_069,20631,109856,3139,;1589;3823
2014-05-07 13_52_41_241,24432,125417,2359,;854;1866
2014-05-07 13_53_04_381,20636,154957,1699,;827;1137
2014-05-07 13_53_26_282,30742,176174,1819,;827;2784;3237
2014-05-07 13_54_45_073,30448,247034,2479,;1254;2683;3265
2014-05-07 13_51_04_250,21344,43907,780,;27;171
2014-05-07 13_52_26_225,20015,125821,840,;1113;2640
2014-05-07 13_53_22_115,20056,173154,1680,;1113;2268
2014-05-07 13_53_24_981,20531,169342,2340,;1254;1137
2014-05-07 13_53_32_637,30193,168528,3300,;2812;3823;1584
2014-05-07 13_53_55_970,20051,193865,3120,;2640;1351
2014-05-07 13_54_55_069,20469,263861,1920,;827;2683
2014-05-07 13_51_07_476,29016,49539,585,;599;596
2014-05-07 13_51_19_270,21489,63165,405,;502;391
2014-05-07 13_52_34_244,30390,120433,2145,;1254;2207;1616
2014-05-07 13_52_47_561,20552,132049,2325,;914;2416
2014-05-07 13_52_55_438,21045,150731,1305,;556;2812
2014-05-07 13_55_05_150,20245,289143,345,;147;45
2014-05-07 13_55_07_181,30475,269316,2565,;1254;2207;3237
2014-05-07 13_51_33_149,20465,80309,154,;147;288
2014-05-07 13_52_16_715,20056,115102,994,;1113;2268
2014-05-07 13_52_29_954,20315,113183,2434,;1137;3008
2014-05-07 13_52_35_337,20230,109932,3394,;2812;3443
2014-05-07 13_52_57_115,20310,145823,1834,;876;2268
2014-05-07 13_54_05_544,30149,222532,1114,;939;2683;1616
2014-05-07 13_55_46_234,20118,318424,1594,;939;1113
2014-05-07 13_52_15_247,20881,120805,245,;45;171
2014-05-07 13_52_46_426,20269,145321,905,;876;2640
2014-05-07 13_53_36_824,30523,193114,1205,;827;3295;2370
2014-05-07 13_54_01_309,31547,223804,545,;502;391;572
2014-05-07 13_51_14_226,20301,52309,940,;876;2790
2014-05-07 13_51_42_548,20405,65727,2080,;1029;3599
2014-05-07 13_53_13_368,20062,147920,3400,;2812;2683
2014-05-07 13_53_57_373,30314,191929,3340,;2812;3443;3265
2014-05-07 13_54_07_124,30682,210303,1900,;917;1849;2370
2014-05-07 13_51_05_450,32514,52908,32,;797;794
2014-05-07 13_52_34_913,20881,140009,332,;45;171
2014-05-07 13_53_02_231,20181,133227,3752,;2683;2450
2014-05-07 13_53_35_770,20074,169366,3512,;2812;1351
2014-05-07 13_53_55_444,30508,212536,1112,;827;3823;1616
2014-05-07 13_54_02_937,30171,197032,3452,;2812;1866;1584
2014-05-07 13_51_35_652,20488,73212,1067,;827;2207
2014-05-07 13_51_44_524,20083,70617,2147,;1351;2790
2014-05-07 13_52_04_724,20054,86116,2627,;2792;2790
2014-05-07 13_52_33_815,20465,140209,167,;147;288
2014-05-07 13_54_45_234,20038,237725,3587,;2812;1113
2014-05-07 13_51_24_357,20358,51113,1996,;1029;2790
2014-05-07 13_53_52_869,20209,189664,3196,;2136;3823
2014-05-07 13_53_57_024,30539,201302,2356,;1254;3443;2370
2014-05-07 13_54_30_926,20022,223817,3556,;2792;2640
2014-05-07 13_51_44_547,20881,91006,172,;45;171
2014-05-07 13_52_01_208,31547,104903,412,;502;391;572
2014-05-07 13_54_14_669,20062,207964,3532,;2812;2683
2014-05-07 13_55_36_133,20340,296825,2692,;1254;1113
2014-05-07 13_51_53_121,21118,83410,1726,;556;2283
2014-05-07 13_52_06_762,21125,94371,1966,;556;2416
2014-05-07 13_52_39_919,20160,116115,3286,;2792;3947
2014-05-07 13_52_55_597,21080,159791,346,;45;312
2014-05-07 13_51_26_342,21524,69004,517,;391;433
2014-05-07 13_51_26_772,37582,68367,637,;633;636;639
2014-05-07 13_51_33_629,38224,73824,757,;758;756;131
2014-05-07 13_52_01_769,20633,80512,2977,;1024;3823
2014-05-07 13_52_52_032,20157,145525,1477,;1113;2450
2014-05-07 13_53_35_244,30702,180029,2317,;917;2784;1616
2014-05-07 13_53_44_330,30477,210224,217,;147;288;131
2014-05-07 13_55_16_744,30354,278052,2617,;1254;2792;1616
2014-05-07 13_55_56_324,30383,317218,2677,;1254;1351;2370
2014-05-07 13_54_00_626,20054,193818,3530,;2792;2790
2014-05-07 13_51_04_540,21524,47504,484,;391;433
2014-05-07 13_51_35_497,21080,83390,124,;45;312
2014-05-07 13_52_13_319,20302,100915,2044,;1137;2283
2014-05-07 13_52_36_915,20080,108897,3664,;2683;2268
2014-05-07 13_53_03_269,20364,146759,2404,;1254;2683
2014-05-07 13_53_10_519,20160,146113,3304,;2792;3947
2014-05-07 13_53_54_430,30257,219925,304,;147;45;131
2014-05-07 13_50_53_699,21524,42004,1,;391;433
2014-05-07 13_51_34_877,46270,76872,601,;602;603;4
2014-05-07 13_51_40_744,30132,80239,841,;939;2792;1616
2014-05-07 13_52_12_024,30065,93919,2581,;2640;2207;2370
2014-05-07 13_53_16_624,30230,152019,3241,;2812;1849;2370
2014-05-07 13_53_22_630,20157,175824,1501,;1113;2450
2014-05-07 13_53_33_174,30630,180762,2041,;917;3823;3265
2014-05-07 13_53_43_669,20469,193257,1861,;827;2683
2014-05-07 13_53_56_582,30296,197176,2701,;2640;3832;3237
2014-05-07 13_52_52_450,20127,131507,2942,;2268;3295
2014-05-07 13_54_04_614,20465,229607,302,;147;288
2014-05-07 13_54_10_725,20022,203706,3542,;2792;2640
2014-05-07 13_54_34_482,30234,249277,1322,;939;2683;3237
2014-05-07 13_55_05_273,30133,262268,3182,;2640;1866;3265
2014-05-07 13_51_46_362,20154,65731,2876,;1351;2416
2014-05-07 13_52_21_042,20187,101335,2756,;2136;1866
2014-05-07 13_52_21_650,20153,118141,1196,;1113;2136
2014-05-07 13_53_03_348,20128,133237,3896,;1866;3599
2014-05-07 13_53_04_530,30477,170824,176,;147;288;131
2014-05-07 13_53_07_216,20092,144299,3176,;1351;2268
2014-05-07 13_54_20_825,20022,213734,3476,;2792;2640
2014-05-07 13_54_37_424,30486,246868,1676,;827;1866;2370
2014-05-07 13_51_50_729,30381,81211,1598,;1254;1866;2370
2014-05-07 13_53_23_076,30174,147246,3518,;2790;2207;3265
2014-05-07 13_54_06_072,20526,207992,2558,;917;1351
2014-05-07 13_51_42_923,20147,64716,2067,;1351;2283
2014-05-07 13_51_52_649,20137,67564,3267,;2207;3599
2014-05-07 13_52_03_220,20145,72512,3687,;1866;2283
2014-05-07 13_52_12_849,20130,94642,2247,;1351;3599
2014-05-07 13_53_00_556,20160,135477,3027,;1351;3008
2014-05-07 13_54_14_731,30257,240023,267,;147;45;131
2014-05-07 13_54_24_335,20118,240025,1227,;939;1113
2014-05-07 13_54_55_335,20340,257130,2007,;1254;1113
2014-05-07 13_55_15_935,20118,288202,1587,;939;1113
